outcome,loan,scholarship,cdw_count,first_gen,on_campus
Graduated,0,0,1,1,0
Graduated,4.868,0,2,0,1
Did not Graduate,0,0,1,1,1
Transferred,0,0,0,0,0
Graduated,0,0,0,1,1
Graduated,0,0.5,2,1,1
Graduated,0,0,0,1,0
Graduated,1.294,0,0,0,1
Graduated,0.75099999,0,1,1,1
Graduated,0,0,0,0,0
Did not Graduate,2.648,0,4,1,1
Graduated,1.724,0,2,1,0
Graduated,0,0,0,1,0
Did not Graduate,2.7939999,0,0,0,1
Did not Graduate,3.5450001,0,1,0,1
Graduated,0,0,2,1,1
Graduated,0,2,2,0,0
Graduated,4.7639999,0,0,1,1
Graduated,1.114,0,2,1,1
Graduated,1.294,0,2,1,1
Transferred,0.95999998,0,0,1,1
Did not Graduate,0,0,2,0,1
Graduated,0,0,0,1,1
Graduated,1.294,0,0,1,1
Graduated,0,0,0,0,1
Graduated,6.3429999,0,1,0,1
Did not Graduate,0,0,0,1,0
Graduated,6.5739999,0,0,1,1
Transferred,1.227,0,0,1,1
Graduated,3.244,0,0,1,1
Did not Graduate,1.294,0,0,0,1
Graduated,0,0,0,1,1
Graduated,2.0150001,0,2,1,1
Graduated,0,0,2,1,1
Graduated,0,0,0,1,1
Did not Graduate,0,0,1,1,0
Graduated,2.7939999,0,0,1,1
Graduated,0,0,0,1,1
Graduated,0,1.5,0,1,1
Did not Graduate,0,0,0,1,0
Graduated,0,0,0,1,1
Graduated,0,0,4,1,1
Did not Graduate,6.573,0,2,0,1
Graduated,0,0,0,1,1
Did not Graduate,2.438,0,0,0,0
Graduated,1.294,0,2,0,1
Graduated,0,0,1,1,1
Did not Graduate,5.3649998,0,1,1,0
Did not Graduate,0,0,1,1,1
Graduated,0,0,0,1,1
Graduated,0,0,3,1,1
Graduated,0,0,3,1,1
Graduated,0,1.5,0,1,1
Graduated,6.4520001,0,1,1,1
Graduated,2.71,0,1,1,1
Graduated,0,0,0,0,1
Did not Graduate,0,0,3,0,1
Graduated,0,0,1,0,0
Graduated,6.3429999,0,3,0,1
Graduated,0,0,0,1,0
Did not Graduate,0,0,3,1,1
Graduated,0,0,0,0,0
Graduated,0,0,3,1,1
Graduated,0,1.5,1,1,1
Transferred,0.73900002,0,0,1,1
Graduated,1.294,0,0,1,1
Graduated,5.7680001,0,0,1,1
Graduated,0,4,0,1,1
Graduated,3.5439999,0,2,1,1
Did not Graduate,3.5439999,0,1,1,1
Graduated,1.294,0,1,1,1
Did not Graduate,0,0,2,1,1
Graduated,3.2609999,0,0,0,1
Graduated,4.3870001,0,1,1,1
Graduated,0,0,2,0,1
Did not Graduate,6.1739998,0,1,1,1
Graduated,3.5439999,0,2,0,1
Did not Graduate,0,0,1,0,0
Graduated,6.5409999,0,1,1,1
Did not Graduate,7.6360002,0,3,1,1
Graduated,0,1.5,0,1,1
Graduated,0,0,2,1,1
Graduated,5.6469998,0,3,0,1
Graduated,0,0,0,1,0
Graduated,2.7939999,0,0,1,1
Graduated,2.707,0,2,1,1
Graduated,7.0619998,0,3,1,1
Graduated,7.2709999,0,1,0,1
Graduated,0,0,2,1,1
Graduated,0,1.5,0,1,1
Did not Graduate,0,0,4,1,1
Did not Graduate,3.2639999,0,3,1,1
Graduated,0,1,0,1,0
Graduated,1.294,0,1,1,1
Graduated,0,1.5,0,1,1
Did not Graduate,0,0,0,0,1
Graduated,5.6869998,0,0,1,1
Graduated,0,0,0,1,0
Graduated,0,0,0,1,1
Graduated,0,0,1,1,1
Did not Graduate,0,0,1,1,1
Did not Graduate,3.5439999,0,2,1,1
Graduated,0,0,0,1,1
Graduated,0,0,3,1,1
Graduated,0,0,2,1,1
Did not Graduate,0,0,0,1,0
Graduated,2.6370001,0,0,1,1
Did not Graduate,0,0,0,0,1
Did not Graduate,1.294,0,2,0,1
Graduated,6.3429999,0,0,1,1
Did not Graduate,2.2590001,0,1,0,0
Did not Graduate,3.5439999,0,2,0,1
Graduated,0,0,0,1,1
Did not Graduate,2.2460001,0,0,1,1
Graduated,1.294,0,0,1,1
Did not Graduate,4.5149999,0,3,0,1
Graduated,1.747,0,1,1,0
Graduated,4.1069999,1.5,1,1,1
Did not Graduate,6.697,0,0,1,1
Graduated,0,0,0,1,1
Graduated,0,0,0,0,0
Transferred,0,0,1,0,1
Graduated,0,0,2,0,1
Graduated,0,0,0,1,1
Graduated,0,0,0,1,1
Graduated,1.753,0,0,1,1
Did not Graduate,7.3930001,0.25,1,1,1
Transferred,0,0,2,0,0
Transferred,0,0,0,1,1
Graduated,0,1.5,0,1,1
Graduated,1.253,1.5,0,0,1
Did not Graduate,5.7579999,0,2,1,0
Graduated,2.2690001,0,1,1,1
Did not Graduate,0,0,4,1,1
Graduated,0,0,0,0,1
Graduated,0,0.125,1,1,1
Graduated,0,0,1,1,1
Did not Graduate,6.3429999,0,2,0,1
Graduated,0,0,0,1,1
Transferred,1.5,0,2,1,0
Did not Graduate,1.294,1.95,2,1,0
Graduated,0,1.5,0,1,0
Did not Graduate,1.294,0,0,1,1
Did not Graduate,0,0,0,0,0
Did not Graduate,0,0,4,0,0
Did not Graduate,1.1950001,0,1,1,1
Graduated,0,0,1,1,0
Graduated,0,0,0,0,0
Graduated,0,0,0,1,1
Graduated,2.7939999,0,0,1,1
Graduated,5.3959999,0.5,0,1,1
Transferred,2.506,0,1,0,1
Graduated,1.294,0,1,1,1
Graduated,0,0,1,0,0
Transferred,5.4429998,0,0,1,1
Graduated,5.1939998,0,0,1,1
Did not Graduate,0,0,3,0,1
Did not Graduate,0,0,1,1,0
Graduated,0,0,4,1,1
Graduated,0.49599999,0,0,0,0
Graduated,0,0,0,0,1
Graduated,0,0,0,1,1
Graduated,2.6440001,0,2,1,1
Graduated,0,0,0,1,1
Graduated,3.5439999,0,1,1,1
Transferred,0,0,0,0,1
Graduated,2.7939999,0,0,1,1
Did not Graduate,1.294,0,3,1,1
Graduated,7.6370001,0,0,0,1
Graduated,0,2.5,0,1,1
Graduated,0,1,3,1,1
Graduated,0,0,1,0,0
Graduated,2.7939999,0,0,0,1
Graduated,0,0,1,0,0
Graduated,4.7119999,1,0,1,0
Graduated,3.0420001,0,1,1,1
Graduated,0,1.5,0,1,1
Graduated,0,0,0,0,0
Graduated,0,0,2,1,1
Graduated,0,0,0,0,1
Graduated,1.166,0,2,1,1
Graduated,0,0.5,0,1,1
Did not Graduate,7.369,0,2,1,1
Graduated,0,0,1,1,1
Graduated,0,0,5,1,1
Graduated,0,0,0,1,1
Graduated,3.5439999,0,0,0,1
Did not Graduate,3.7320001,0,0,0,0
Graduated,0,0,0,1,1
Graduated,7.4419999,0,2,1,1
Graduated,0,0,0,0,0
Graduated,1.0319999,1.5,0,1,0
Graduated,0,0.5,0,1,1
Graduated,2.4809999,0,0,1,1
Graduated,7.0619998,0,0,0,1
Graduated,0,1.5,0,1,1
Graduated,0,0,1,0,1
Graduated,4.3759999,0,2,0,1
Graduated,1.294,0,3,1,1
Did not Graduate,0,0,1,0,1
Graduated,0.89700001,0,3,0,1
Graduated,1.294,0,3,1,1
Graduated,0.37599999,0,1,0,1
Graduated,0,0,1,0,1
Did not Graduate,0,0,3,1,1
Transferred,1.294,0,2,0,0
Did not Graduate,2.7939999,0,1,0,1
Did not Graduate,0,0,0,1,1
Transferred,6.3429999,0,2,1,1
Did not Graduate,7.0630002,0,3,0,1
Graduated,2.7939999,0,0,1,0
Graduated,1.294,0,0,1,1
Did not Graduate,1.294,0,1,0,0
Graduated,0,2.5,1,1,1
Did not Graduate,0,0,1,1,0
Transferred,3.733,0,1,0,1
Transferred,0,0,1,1,0
Graduated,1.294,0,0,1,0
Graduated,0,0,1,1,1
Graduated,1.626,0,0,1,1
Did not Graduate,2.25,0,0,1,0
Graduated,5.6630001,0,0,1,1
Graduated,3.9760001,0,2,0,1
Did not Graduate,1.294,0,4,1,0
Did not Graduate,4.7639999,0,3,0,1
Transferred,0,0,0,0,1
Did not Graduate,1.294,1.65,2,1,1
Graduated,0,0,1,1,1
Graduated,0,0,4,1,1
Graduated,0,0,0,1,0
Graduated,1.294,1,0,1,1
Graduated,0,0,0,1,1
Graduated,1.294,0,1,1,1
Graduated,3.244,0,3,1,0
Did not Graduate,3.5439999,0,2,0,1
Graduated,0,0,1,1,0
Graduated,0,0,0,1,1
Did not Graduate,5.8340001,0,0,0,1
Graduated,0,1.5,0,1,1
Graduated,1.724,0,0,1,1
Transferred,0,1,0,1,1
Graduated,0.44,0,1,0,0
Graduated,0,0,1,1,1
Did not Graduate,0,0,3,0,0
Graduated,0,0,0,1,1
Graduated,0,0,2,1,1
