id,marriage,attend,denom,gender,ideology,orientation,friends,educ,region,race,age
198,3,2,2,1,1,1,1,12,4,4,43
199,3,1,1,1,5,1,1,14,4,1,57
200,2,1,2,1,2,1,5,12,4,1,54
201,3,5,2,2,2,1,5,10,4,1,57
202,2,1,1,2,1,1,5,12,4,2,68
203,1,1,2,2,1,1,1,16,4,1,53
204,1,3,1,1,0,5,5,12,4,2,54
205,1,4,1,1,0,3,1,16,4,1,35
206,1,5,2,1,3,1,1,15,4,1,80
207,1,5,2,2,1,1,1,16,4,1,38
208,1,5,2,2,1,1,1,14,4,1,21
209,1,1,2,1,3,5,1,17,4,4,60
210,3,1,7,2,1,1,1,13,4,6,30
211,1,3,7,2,1,3,1,16,4,1,24
212,1,4,3,2,2,1,1,16,4,1,29
213,1,4,7,2,1,1,5,14,4,2,47
214,1,5,7,2,1,1,1,14,4,2,24
215,3,2,7,1,1,1,5,12,4,2,42
216,3,5,7,1,3,1,5,12,4,6,46
217,1,2,7,2,5,1,1,16,4,4,23
218,2,2,7,2,2,1,1,14,4,2,23
219,3,2,7,2,1,1,5,13,4,4,48
220,3,3,7,2,0,1,1,16,4,2,46
221,1,3,7,2,2,1,1,13,4,1,26
222,3,1,7,2,6,1,1,17,4,1,31
223,1,4,7,2,0,1,5,13,4,6,26
224,2,2,7,2,6,1,5,14,4,4,59
225,2,3,7,2,0,1,1,17,4,2,26
226,3,1,7,2,6,1,1,16,4,1,25
227,2,2,1,2,6,1,1,12,4,1,34
228,3,4,1,1,3,1,5,12,4,4,40
229,2,5,2,1,2,1,1,12,4,1,44
230,1,4,7,2,1,1,5,12,4,2,44
231,1,2,2,2,4,1,1,12,4,2,18
232,1,3,1,2,2,1,1,16,4,1,45
233,1,4,1,1,2,1,5,15,4,1,45
234,1,1,7,2,1,1,1,12,4,2,44
235,1,1,1,2,2,1,1,15,4,1,23
236,1,1,7,2,0,1,1,17,4,4,33
237,3,4,7,1,4,1,5,14,4,1,55
238,2,2,2,1,5,1,1,12,4,1,38
239,1,1,2,1,0,1,5,16,4,1,57
240,2,2,1,2,6,1,1,16,4,1,60
241,2,1,1,1,5,1,5,16,4,1,46
242,3,1,1,2,5,1,5,16,4,1,52
243,1,1,2,1,0,1,5,16,4,4,31
244,2,5,1,1,5,1,5,14,4,1,71
245,1,5,7,2,0,1,1,12,4,1,58
246,1,1,1,1,0,1,5,12,4,1,18
247,1,5,3,2,0,1,5,16,4,1,56
248,2,4,1,2,6,1,1,12,4,1,55
