id,degree,unmet,need,loan,scholarship,age19,onCampus,outstate,reciprocity,firstgen,act,ap,remedial,ratio,ccount,dcount,wcount
600,Non-Graduate,15.136,0,0,0.5,0,1,0,1,1,29,15,0,0,0,0,0
601,Graduate (original),1.621786,0,0,0,0,1,0,1,0,29,4,0,76.470589,1,1,1
602,Non-Graduate,3.1868961,0,0,0,0,0,0,0,1,24,0,0,46.666672,1,0,1
603,Non-Graduate,0,0,5.6370001,0,0,1,0,1,1,28,17,0,69.230766,0,0,1
604,Graduate (original),3.0912809,0,0,0,0,0,0,0,1,26,14,0,75,2,0,0
605,Non-Graduate,3.5415721,0,0,0,0,0,0,1,0,28,0,0,0,0,0,3
606,Graduate (original),0,0,7.3449998,0,0,0,0,0,1,27,0,0,100,0,0,0
607,Graduate (original),2.4957039,0,0,0,0,0,0,0,1,24,0,0,100,1,0,0
608,Graduate (transfer),1.608384,0,0,0,0,1,0,0,0,21,0,0,100,1,0,0
609,Graduate (transfer),0,0,0,0,0,1,0,0,1,25,0,0,100,1,0,0
610,Non-Graduate,0,1.45,4.224,0,0,1,0,1,0,27,0,0,100,2,0,0
611,Graduate (original),7.8150001,5.2030001,1.118,0,0,1,0,0,1,24,0,0,100,0,0,0
612,Graduate (original),0,0,1.95,0,0,1,0,0,1,24,0,0,100,0,0,0
613,Graduate (original),0.25,5.0539999,0,2.5,0,1,0,0,1,30,0,0,100,0,0,0
614,Graduate (original),0,3.1530001,0,0,0,0,0,0,0,17,0,1,100,0,0,0
615,Graduate (transfer),0,0,3.4879999,0,0,1,0,0,0,22,0,0,100,2,0,0
616,Non-Graduate,0.53592652,0,0,0,0,1,0,0,1,14,0,0,92.85714,2,0,1
617,Graduate (original),4.5409999,0,0,0,0,1,0,0,0,21,4,0,100,0,0,0
618,Non-Graduate,0,0,5.6370001,0,0,1,0,1,1,22,0,0,100,3,0,0
619,Graduate (original),0,0,0,1.5,0,1,0,0,0,30,13,0,100,0,0,0
620,Graduate (original),0.76499999,1.673,0,0,0,1,0,0,0,21,0,0,75,0,0,1
621,Graduate (original),0,0,1.294,1,0,1,0,0,1,31,11,0,100,1,0,0
622,Graduate (original),0.99498212,0,0,0,0,1,0,1,1,22,0,0,81.25,1,1,1
623,Graduate (original),1.731142,0,0,0,0,1,0,0,1,23,0,0,100,0,0,0
624,Graduate (original),0,0.5,6.3800001,0,0,1,1,0,1,25,0,0,100,1,0,0
625,Graduate (original),0,2.306,3.9579999,0,0,1,0,0,1,25,0,0,100,0,0,0
626,Graduate (original),1.28785,0,0,0,0,1,0,1,0,23,0,0,100,2,0,0
627,Graduate (original),0,0.27500001,3.905,2.5,0,1,0,0,1,29,11,0,100,1,0,0
628,Non-Graduate,2.007,4.9439998,0,0,0,1,0,0,1,22,0,0,100,1,0,0
629,Non-Graduate,0,0.116,6.0910001,0,0,1,0,0,0,26,0,0,57.14286,2,1,0
630,Graduate (original),0,0.2,3.786,2.5,0,1,0,0,1,32,11,0,100,0,0,0
631,Graduate (transfer),0.213,5.2140002,0.972,0,0,1,0,0,0,22,0,0,92.307693,2,1,0
632,Graduate (original),0,0,0,0,0,1,1,0,1,25,0,0,100,0,0,0
633,Graduate (original),0,0.30000001,6.7690001,0,0,1,0,1,1,19,0,0,100,1,0,0
634,Graduate (original),1.615836,0,0,0,0,1,0,1,0,29,4,0,100,0,0,0
635,Non-Graduate,0,1,5.6849999,1,0,1,0,0,1,26,0,0,100,0,0,0
636,Graduate (original),0,0,2.1789999,0.5,0,1,0,1,1,31,21,0,100,0,0,0
637,Graduate (original),15.636,0.5,0,0,0,1,0,0,1,31,10,0,100,0,0,0
638,Graduate (original),0,0,0,4,0,1,0,0,1,29,8,0,100,0,0,0
639,Non-Graduate,0.34,4.7459998,0,0,0,0,0,0,1,17,0,1,73.333344,0,0,0
640,Graduate (original),0,0,0,0,0,1,0,1,0,27,0,0,100,0,0,0
641,Graduate (original),0,0,0,0,0,1,0,0,1,24,0,0,100,1,0,0
642,Graduate (original),0,0,7.0619998,0,0,1,0,1,1,29,30,0,100,0,0,0
643,Non-Graduate,0.199,5.4850001,0.60699999,0,0,1,0,0,1,25,0,0,100,0,0,0
644,Graduate (transfer),0,0,3.5439999,0,0,1,0,1,1,25,0,0,100,2,0,0
645,Graduate (original),2.2175889,0,0,0,0,0,0,0,0,19,0,1,100,0,0,0
646,Non-Graduate,13.386,1.125,0,0,0,0,0,0,1,25,0,0,50,1,0,1
647,Graduate (original),1.760132,0,0,0,0,1,0,0,0,24,0,0,100,1,0,0
648,Graduate (original),1.142,0,1.294,0,0,1,0,0,1,24,0,0,100,0,0,0
649,Graduate (original),0,0,1.294,0,0,1,0,0,1,30,4,0,100,0,0,0
650,Non-Graduate,0,2.2149999,2.289,0,1,1,0,0,1,16,0,1,53.846161,2,0,0
651,Non-Graduate,3.4809999,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
652,Graduate (original),0,2.3280001,0,2,0,1,0,0,1,25,4,0,100,0,0,0
653,Graduate (original),1.436325,0,0,0,0,1,0,0,1,25,0,0,100,2,0,0
654,Graduate (original),3.4990001,1.377,1.294,0,0,0,0,0,0,14,0,0,100,0,0,0
655,Graduate (original),3.1099999,0,0,0,0,1,1,0,1,21,0,0,100,0,0,0
656,Non-Graduate,0,0,6.3969998,0,0,0,0,0,0,21,0,0,100,2,0,0
657,Graduate (original),0,0,2.25,0,0,1,0,0,1,23,0,0,111.7647,0,1,0
658,Non-Graduate,6.7350001,3.734,0,0,0,0,0,0,1,29,4,0,25,0,1,0
659,Graduate (original),1.527053,0,0,0,0,1,0,0,1,24,0,0,100,1,0,0
660,Graduate (original),0,2.046,0,1.75,0,1,0,0,1,33,0,0,100,0,0,0
661,Graduate (original),0,1,4.8800001,0,0,1,0,0,0,23,0,0,100,0,0,0
662,Graduate (original),0,0,0,0,0,1,0,1,1,27,7,0,100,0,0,0
663,Graduate (original),0,0.28999999,1.724,0,0,1,0,0,1,33,35,0,100,0,0,0
664,Graduate (original),0,0,5.1690001,0,0,1,0,1,1,27,0,0,100,1,0,0
665,Non-Graduate,2.254317,0,0,0,0,0,0,0,0,29,0,0,100,0,4,0
666,Non-Graduate,3.53,1.854,1.294,0,0,0,0,0,0,24,0,0,100,2,0,0
667,Graduate (original),0,0,3.5439999,1,0,1,0,1,1,23,0,0,100,0,0,0
668,Non-Graduate,0,0,0,0,0,1,0,1,1,32,10,0,76.470589,0,0,1
669,Graduate (original),0,1.775,0,0,0,1,0,0,0,19,0,0,100,1,0,0
670,Graduate (original),0.52499998,0.20548999,5.5190001,0.5,0,1,0,1,1,29,4,0,100,0,0,0
671,Non-Graduate,2.443943,0,0,0,0,1,1,0,0,24,4,0,100,1,0,1
672,Graduate (transfer),0,1.302,1.73,0,0,0,0,0,1,21,0,0,69.230766,1,0,0
673,Graduate (original),0,5.25,2.5569999,0,0,1,0,0,1,26,0,0,87.5,1,2,1
674,Non-Graduate,0.015,5.3940001,2.506,0,0,1,0,0,0,18,0,0,78.571426,2,0,0
675,Graduate (original),8.2060003,3.125,0,0,0,1,1,0,1,21,0,0,100,2,0,0
676,Non-Graduate,0.214,7.2600002,0.53200001,0,1,0,0,0,1,13,0,0,100,0,0,0
677,Non-Graduate,0,0,0,0,0,1,0,0,1,30,0,0,68.75,1,1,0
678,Graduate (original),0,0,5.1939998,0,0,1,0,1,1,24,0,0,100,0,0,0
679,Graduate (original),0,0.58099997,2.4890001,0,0,0,0,0,0,25,0,0,100,2,0,0
680,Graduate (original),0,0,0,0,0,1,0,1,1,29,25,0,100,0,0,0
681,Graduate (original),0,0,0,0,0,1,0,0,0,22,0,1,100,2,0,0
682,Graduate (original),0,0,6.3990002,0,0,1,0,0,1,21,0,0,100,0,0,0
683,Graduate (original),1.5397249,0,0,0,0,1,0,1,1,27,0,0,100,0,0,0
684,Graduate (transfer),0,0.45100001,4.7080002,0,0,0,0,0,1,22,0,1,100,0,0,0
685,Graduate (transfer),0,0,3.2639999,0,0,1,0,1,1,25,18,0,100,0,0,0
686,Graduate (original),0,0,0,0,0,1,0,0,0,28,0,0,100,1,0,0
687,Graduate (original),0.449,5.277,1.294,1,0,1,0,0,1,25,23,0,33.33334,0,2,1
688,Graduate (original),0.875,0,1.294,0,0,0,0,0,0,24,0,0,100,1,0,0
689,Graduate (original),0,0,0,0,0,1,0,1,1,29,0,0,100,0,0,0
690,Graduate (original),0,3.734,0,1,0,0,0,0,1,21,0,0,100,0,0,0
691,Graduate (original),1.1060801,0,0,0,0,1,0,0,1,25,0,0,100,3,0,0
692,Non-Graduate,0,3.2520001,4,0,0,1,0,0,0,22,0,0,84.615387,0,0,0
693,Non-Graduate,2.6858411,0,0,0,0,0,0,0,1,30,0,0,100,1,0,0
694,Graduate (original),0,0,0,0,0,1,0,0,1,30,19,0,100,0,0,0
695,Graduate (original),0,0.25,0,0,0,1,1,0,1,29,0,0,100,0,0,0
696,Non-Graduate,0.106,5.256,1.294,0,0,1,0,0,0,19,0,1,100,2,0,0
697,Graduate (original),3.0214219,0,0,0,0,1,1,0,1,28,4,0,100,0,0,0
698,Graduate (original),0,0,6.8109999,0,0,1,0,0,1,31,4,0,100,0,0,0
699,Graduate (original),2.176019,0,0,0,0,0,0,0,1,21,0,1,100,0,0,0
700,Graduate (original),1.28785,0,0,0,0,1,0,1,0,23,0,0,100,2,0,0
701,Non-Graduate,0.215,4.5630002,0.75,0,0,1,0,0,1,26,0,0,100,2,0,0
702,Graduate (original),0,0,0,0,0,1,0,0,1,26,13,0,100,0,0,0
703,Graduate (original),0,0,0,0,0,1,0,0,1,26,0,0,100,1,0,0
704,Graduate (original),12.136,0.75,0,0,0,1,0,0,1,29,0,0,133.3333,0,0,0
705,Graduate (original),0,3.734,0,0,0,0,0,0,0,19,0,0,100,1,0,0
706,Non-Graduate,4.388,1.25,1.5,0,0,0,0,1,1,28,0,0,73.333344,0,0,0
707,Graduate (original),5.8330002,1.475,0,0,0,1,0,0,1,27,0,0,100,0,0,0
708,Graduate (original),0,0,7.6370001,0,0,1,0,0,1,25,0,0,100,2,0,0
709,Graduate (original),0,0,2.2690001,0,0,1,0,1,0,23,0,0,100,0,0,0
710,Graduate (original),0,0,0,0,0,1,0,0,1,26,13,0,100,0,0,0
711,Non-Graduate,0,4.6230001,1.498,0,0,0,0,0,1,19,0,1,100,1,1,0
712,Non-Graduate,7.5510001,3.1570001,0.98500001,0,0,0,0,0,1,14,0,1,100,2,1,0
713,Graduate (original),2.5929999,1.1,3.5439999,0.5,0,1,0,0,1,25,8,0,100,0,0,0
714,Graduate (original),0,0,0,0,0,1,0,1,1,22,0,0,100,0,0,0
715,Non-Graduate,0,0,7.6370001,0,0,0,0,0,0,27,0,0,50,0,2,1
716,Graduate (transfer),1.727,1.124,5.1199999,0,0,1,0,0,1,24,21,0,100,1,0,0
717,Graduate (transfer),0,0,5.8769999,0,0,1,0,1,0,21,0,0,73.333344,2,0,1
718,Graduate (original),1.271656,0,0,0,0,1,0,1,1,23,0,0,100,1,0,0
719,Graduate (original),0,0,4.9559999,1.5,0,1,0,0,1,27,4,0,100,0,0,0
720,Non-Graduate,0,2.243,0,0,0,1,0,0,0,31,0,0,100,0,0,0
721,Graduate (original),0,0,1.294,0,0,1,0,1,0,18,0,0,100,0,0,0
722,Non-Graduate,0,4.3340001,0,0,0,1,0,0,0,17,0,1,100,5,0,0
723,Graduate (original),0,4.2340002,0,4,0,1,0,0,1,34,4,0,100,0,0,0
724,Graduate (original),0.65399998,1.489,3.5439999,0,0,1,0,0,1,23,0,0,100,1,0,0
725,Non-Graduate,0.285,5.1040001,0.847,0,0,1,0,0,1,17,0,0,100,1,0,0
726,Graduate (original),0,3.506,0.898,1,0,1,0,0,1,23,4,0,100,0,0,0
727,Graduate (original),3.957,0,2.7939999,0,0,1,0,1,1,22,6,0,100,1,1,0
728,Graduate (original),0,0,3.244,1.5,0,1,0,0,1,29,8,0,100,0,0,0
729,Graduate (original),0,0,1.294,0,0,1,0,0,0,24,0,0,100,0,0,0
730,Graduate (original),4.007,0,1.294,0,0,1,0,1,1,23,0,0,100,0,0,0
731,Graduate (transfer),0.76599997,4.448,2.5439999,0,0,1,0,0,0,21,0,1,100,0,0,0
732,Non-Graduate,11.672,3.96419,0,0,0,1,0,0,0,17,0,1,0,0,0,1
733,Graduate (original),2.8346159,0,0,0,0,0,0,0,1,26,0,0,100,0,0,0
734,Graduate (original),0.58499998,0.54799998,4.973,0,0,1,0,0,0,22,0,0,100,1,0,1
735,Graduate (original),14.386,0.625,0,0,0,1,0,0,1,26,0,0,100,1,0,0
736,Graduate (original),0,0.89999998,0.977,0,0,1,0,0,1,24,0,0,100,2,0,0
737,Graduate (original),0.01,2.3169999,1.7819999,0,0,1,0,0,1,23,0,0,75,4,0,0
738,Non-Graduate,0.31,6.1139998,0,0,0,0,0,0,0,12,0,0,100,0,0,0
739,Graduate (original),0.92699999,0,5.0440001,0.5,0,1,0,1,1,27,0,0,100,0,0,0
740,Graduate (original),0.20900001,0,1.294,0,0,1,0,0,1,31,12,0,100,0,0,0
741,Graduate (original),0,3.1359999,1.295,0,0,0,0,0,0,21,0,1,100,0,0,0
742,Non-Graduate,0,2.9990001,3.7349999,0,0,1,0,0,1,23,0,0,80,2,0,1
743,Non-Graduate,0,0.25,0,0,0,1,0,0,1,33,4,0,100,1,0,0
744,Non-Graduate,0,0,7.1170001,0,0,1,0,1,0,23,0,0,64.285713,1,0,1
745,Graduate (original),2.108,2.9909999,0,1.5,0,0,0,0,1,27,4,0,100,0,0,0
746,Graduate (original),0,1.25,3.5439999,0,0,1,0,0,0,30,11,0,80,1,0,1
747,Graduate (original),0,0,3.244,0,0,0,0,0,1,20,0,1,100,0,0,0
748,Non-Graduate,2.1170321,0,0,0,0,0,0,0,1,23,0,0,100,2,0,0
749,Graduate (original),0,0,0,0,0,1,0,1,1,30,8,0,81.25,1,0,1
750,Non-Graduate,0,0,6.1739998,0,0,1,0,0,0,20,0,1,93.333344,1,0,1
751,Graduate (transfer),0,0,1.294,0,0,1,0,0,0,25,0,0,81.25,0,0,1
752,Graduate (transfer),0,0,0,0,0,1,0,1,0,26,0,0,29.41177,1,0,1
753,Graduate (transfer),0,0,0,0,0,1,0,0,1,23,0,0,106.6667,1,0,0
754,Graduate (original),2.780483,0,0,0,0,1,1,0,0,23,0,0,100,1,0,0
755,Non-Graduate,0,0.391,3.9030001,0,0,0,0,0,0,14,0,1,21.42857,1,0,1
756,Graduate (original),1.5199749,0,0,0,0,1,0,0,1,27,0,0,100,0,0,0
757,Graduate (transfer),14.636,0,0,0.5,0,1,0,0,0,27,0,0,100,0,1,0
758,Graduate (original),0.63300002,0,1.294,0,0,1,0,1,1,28,0,0,100,0,0,0
759,Non-Graduate,1.3596179,0,0,0,0,1,0,1,1,25,0,0,76.470589,0,0,1
760,Graduate (original),0,0,7.4720001,0,0,1,0,1,1,28,12,0,100,1,0,0
761,Non-Graduate,0,0.5,6.2909999,0,0,1,0,1,1,26,0,0,100,0,0,0
762,Graduate (original),2.8643379,0,0,0,0,0,0,0,1,27,0,0,100,0,0,0
763,Non-Graduate,2.8323081,0,0,0,0,0,0,0,0,24,0,0,100,0,0,0
764,Graduate (transfer),0,0,3.5439999,0,0,1,0,1,1,29,7,0,100,2,1,1
765,Non-Graduate,0,0.5,7.1469998,0,0,1,0,0,0,25,4,0,53.33334,0,2,1
766,Graduate (original),0,0,5.1240001,0,0,0,0,1,1,22,0,1,100,1,0,0
767,Graduate (original),0,4.8200002,0,2.5,0,1,0,0,1,27,4,0,100,0,0,0
768,Non-Graduate,0,0,0,0,0,1,0,1,1,27,6,0,100,0,0,0
769,Graduate (transfer),15.636,0,0,0,0,1,0,0,0,23,0,0,100,0,0,0
770,Graduate (transfer),0,0,3.5439999,0,0,0,0,0,1,25,0,0,0,0,0,2
771,Graduate (original),0,0,2.513,1.5,0,0,0,0,1,32,4,0,100,0,0,0
772,Graduate (original),2.3629999,0.625,0,0,0,1,0,1,1,26,21,0,100,0,0,0
773,Non-Graduate,0,0,5.6370001,0,0,1,0,1,1,28,10,0,100,0,0,0
774,Non-Graduate,0,4.0749998,0.93900001,0,0,0,0,0,1,24,0,0,100,1,1,0
775,Graduate (original),0,0,1.294,0,0,1,0,1,0,29,12,0,71.428574,0,0,1
776,Graduate (original),1.65321,0,0,0,0,1,0,0,1,25,0,0,100,1,0,0
777,Graduate (original),0,0,1.294,0,0,1,0,1,1,21,0,0,100,3,0,0
778,Graduate (original),0,2.8900001,1.541,0,0,0,0,0,0,14,0,0,100,1,0,0
779,Graduate (transfer),1.3100441,0,0,0,0,1,0,1,1,26,0,0,100,1,0,0
780,Non-Graduate,0,3.1500001,3.99,0,0,1,0,1,0,17,0,1,78.571426,3,0,1
781,Graduate (original),0,0,0,0,0,1,0,0,1,25,0,0,100,0,0,0
782,Graduate (original),9.6359997,0,0,0,0,0,0,0,1,30,4,0,100,0,0,0
783,Non-Graduate,11.782,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
784,Graduate (transfer),3.036,0,0,0,0,1,0,0,0,19,0,1,40,1,1,1
785,Graduate (original),1.61,1.05,0,0,0,1,0,0,0,24,0,0,100,1,0,0
786,Graduate (original),0,0.5,4.7090001,1.5,0,1,0,0,1,30,0,0,100,0,0,0
787,Non-Graduate,4.5370002,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0
788,Graduate (transfer),0,3.95,1.752,0,0,1,0,1,1,28,0,0,100,0,0,0
789,Graduate (original),1.614557,0,0,0,0,1,0,0,1,25,0,0,78.571426,1,0,1
790,Graduate (original),0,0,5.7680001,0,0,1,0,1,0,26,7,0,100,0,0,0
791,Graduate (original),2.750978,0,0,0,0,0,0,0,1,27,0,0,100,0,0,0
792,Graduate (original),0,4.421,0,1.5,0,1,0,0,1,23,0,0,100,1,0,0
793,Graduate (original),0,3.885,2.7190001,0,0,0,0,0,1,18,0,1,100,0,0,0
794,Graduate (original),0.23199999,1.25,2.1860001,0,0,1,0,1,0,25,8,0,100,1,0,0
795,Non-Graduate,1.513526,0,0,0,0,1,0,0,0,23,0,0,100,2,0,0
796,Graduate (original),0,3.5910001,1.268,0,0,1,0,0,0,23,0,0,100,0,0,0
797,Graduate (original),15.636,0,0,0,0,1,0,0,0,25,0,0,100,0,0,0
798,Graduate (original),0,0,2.381,0.5,0,1,0,1,1,30,15,0,100,0,0,0
799,Non-Graduate,0,0.94999999,10.44,0,0,1,1,0,1,21,0,0,100,1,0,0
800,Graduate (original),0,0,0,0,0,1,0,0,0,19,0,1,100,0,0,0
801,Graduate (original),0,0,1.295,0,0,1,0,0,1,19,4,1,100,2,0,0
802,Graduate (original),2.2249999,2.1559999,2.793,0,0,1,0,0,1,21,0,0,100,1,0,0
803,Non-Graduate,1.817,4.993,1.294,0,0,1,0,0,1,15,0,1,53.846161,1,2,0
804,Graduate (original),1.335761,0,0,0,0,1,0,0,1,26,0,0,100,2,0,0
805,Non-Graduate,0,0.25,0,0,0,1,0,0,1,29,4,0,100,1,0,0
806,Graduate (original),1.820715,0,0,0,0,1,0,0,1,30,0,0,100,0,0,0
807,Graduate (original),0,0.75,2.4879999,0,0,1,0,1,0,20,0,1,100,2,0,0
808,Graduate (original),3.6429999,0,0,0,0,1,0,1,0,23,0,0,100,1,0,0
809,Graduate (transfer),0,0,7.974,0,0,0,0,0,0,25,0,0,100,1,0,0
810,Graduate (original),5.5149999,0,0,0,0,1,0,1,1,25,0,0,100,2,0,0
811,Graduate (original),1.595464,0,0,0,0,1,0,1,0,22,0,0,100,0,0,0
812,Graduate (original),0,2.425,0,0,0,1,0,1,1,29,0,0,100,0,0,0
813,Non-Graduate,0,2.9189999,2.7939999,0,0,1,0,0,1,24,10,0,100,0,0,0
814,Graduate (original),0,2.4719999,0.493,0,0,0,0,0,1,28,0,0,100,0,0,0
815,Graduate (original),2.862,1.041,0.93300003,0,0,1,0,0,1,31,45,0,100,0,0,0
816,Graduate (original),6.4460001,0,3.5439999,0,0,0,0,0,0,20,0,1,100,0,0,0
817,Non-Graduate,1.347,0.546,1.294,0,0,1,0,0,0,22,0,0,100,1,0,0
818,Non-Graduate,2.671931,0,0,0,0,0,0,0,1,24,4,0,100,1,0,0
819,Graduate (original),0,0.85000002,5.724,0,0,1,0,1,1,29,13,0,100,2,0,0
820,Graduate (original),5.3839998,0.21600001,0,0,0,0,0,0,1,26,4,0,100,0,0,0
821,Non-Graduate,3.862,3.1140001,0.59100002,0,0,0,0,0,0,13,0,1,100,0,0,0
822,Graduate (original),0,0,1.294,0,0,1,0,1,1,27,7,0,100,0,0,0
823,Graduate (original),14.456,0,0,0,0,1,0,1,1,20,0,0,100,0,0,0
824,Graduate (original),0,0,1.294,0,0,1,0,1,1,20,0,0,100,2,0,0
825,Non-Graduate,2.0901229,0,0,0,0,0,0,0,0,22,0,1,81.25,1,1,1
826,Graduate (transfer),0,0,4.7930002,0,0,1,0,1,0,25,0,0,100,0,0,0
827,Non-Graduate,2.7983141,0,0,0,0,0,0,0,0,24,0,0,100,0,1,0
828,Non-Graduate,0,0,1.294,0,0,0,0,0,1,27,0,0,100,4,0,0
829,Graduate (transfer),0,0,8.6479998,0,0,1,1,0,1,24,0,0,100,2,0,0
830,Graduate (original),0,4.928,2.392,0,0,1,0,0,1,24,0,0,100,3,0,0
831,Non-Graduate,5.4590001,3.9760001,0,0,0,0,0,0,0,22,0,1,100,1,0,0
832,Graduate (original),1.324819,0,0,0,0,1,0,0,1,21,0,0,80,2,0,0
833,Graduate (original),0,0,4.4660001,0,0,1,0,0,1,27,7,0,100,0,0,0
834,Non-Graduate,0,0.77499998,4.8039999,0,0,1,0,0,0,22,0,0,100,0,0,0
835,Graduate (original),2.1554129,0,0,0,0,0,0,0,0,23,0,1,100,0,0,0
836,Non-Graduate,15.97,0,0,0,0,0,0,0,0,14,0,0,33.33334,1,1,0
837,Graduate (original),1.5543081,0,0,0,0,1,0,1,0,22,0,0,76.470589,0,0,1
838,Graduate (original),1.270436,0,0,0,0,1,0,0,0,27,0,0,80,3,1,0
839,Graduate (original),0.82300001,1.05,2.7939999,0,0,1,0,1,1,23,0,0,100,0,0,0
840,Non-Graduate,1.55012,0,0,0,0,1,0,0,0,20,0,0,100,0,0,0
841,Graduate (original),0,0,6.3429999,0,0,1,0,0,0,18,0,0,100,0,0,0
842,Graduate (original),1.434158,0,0,0,0,1,0,1,0,29,0,0,100,1,1,0
843,Graduate (original),0,0,6.6570001,0,0,1,0,0,1,27,4,0,82.352943,1,0,1
844,Graduate (transfer),1.856184,0,0,0,0,1,0,0,1,19,4,0,100,0,0,0
845,Graduate (original),0,1.848,3.21,2.75,0,1,0,0,1,31,11,0,100,1,0,0
846,Graduate (original),1.838065,0,0,0,0,1,0,0,0,22,0,0,100,0,0,0
847,Non-Graduate,0,0,3.244,0,0,0,0,0,1,24,0,0,76.470589,1,1,0
848,Graduate (original),8.2360001,1.2,0,2.5,0,1,0,0,1,28,0,0,100,1,0,0
849,Graduate (transfer),2.908,0,0,0,0,0,0,0,1,30,4,0,100,0,0,0
850,Graduate (original),1.60826,0,0,0,0,1,0,1,0,23,0,0,100,0,0,0
851,Non-Graduate,1.369,3.45,2.7939999,0,0,1,1,0,1,26,0,0,100,2,0,0
852,Graduate (original),1.9754781,0,0,0,0,1,0,0,1,27,4,0,100,0,0,0
853,Graduate (original),0,0,0,0,0,0,0,0,1,28,4,0,93.75,1,0,1
854,Graduate (original),0,0,3.2650001,1,0,1,0,1,0,17,6,1,75,0,0,1
855,Graduate (original),0,0,6.9640002,0,0,1,0,1,1,29,0,0,100,0,0,0
856,Graduate (original),1.58215,0,0,0,0,1,0,0,1,23,0,0,100,0,0,0
857,Graduate (original),0,0,6.1739998,0,0,1,0,0,0,24,0,0,100,1,0,0
858,Non-Graduate,0,0,7.6370001,0,0,1,0,1,1,22,0,0,100,0,0,0
859,Non-Graduate,0.257,0.86199999,0,2.5,0,1,0,0,1,31,0,0,100,2,0,0
860,Graduate (original),0,0,0,0,0,1,0,1,1,26,8,0,100,0,0,0
861,Non-Graduate,0,0.685,6.4429998,0,0,1,0,0,1,23,0,0,100,2,0,0
862,Non-Graduate,0,0.30500001,0,2.5,0,1,0,0,1,35,39,0,100,0,0,0
863,Graduate (original),0,0,0,0,0,1,0,0,1,26,4,0,100,0,0,0
864,Graduate (original),0,0,0,0,0,1,0,0,1,29,12,0,100,0,0,0
865,Graduate (original),15.636,0.30000001,0,0,0,1,0,0,1,27,0,0,100,0,0,0
866,Graduate (original),0,0,6.3429999,0,0,1,0,0,0,20,0,0,100,0,0,0
867,Graduate (transfer),0,0.25,1.294,0,0,1,0,1,1,28,10,0,100,0,0,0
868,Graduate (original),0,0,1.294,0,0,1,0,1,0,24,0,0,100,0,0,0
869,Graduate (original),0.189,3.747,1.872,0,0,0,0,0,1,20,0,0,100,0,0,0
870,Graduate (original),0.37599999,5.2030001,0,0,0,0,0,0,1,15,0,0,100,2,0,0
871,Graduate (original),0.72100002,4.152,0,2.25,0,1,0,0,1,21,4,0,100,0,0,0
872,Graduate (original),0,0,1.294,0.5,0,1,0,0,1,23,0,0,100,1,0,0
873,Graduate (original),0.82999998,6.0339999,0,0,0,0,0,0,1,17,0,0,100,1,0,1
874,Graduate (original),1.5013371,0,0,0,0,1,0,1,1,24,0,0,100,0,0,0
875,Graduate (original),5.2069998,2.349,3.5439999,0,0,1,0,0,1,20,0,0,100,3,1,0
876,Graduate (original),0,0,7.474,0,0,1,0,0,1,26,0,0,100,1,0,0
877,Graduate (transfer),3.5650001,3.6889999,1.294,0,0,0,0,0,0,18,0,0,100,1,0,0
878,Graduate (original),0,0.75,4.4629998,0,0,0,0,0,1,31,6,0,100,0,0,0
879,Graduate (original),0,2.2850001,3.947,0,0,1,0,0,0,18,0,1,100,0,0,0
880,Non-Graduate,0.249,0,3.5439999,0,0,1,0,1,1,24,6,0,81.25,1,0,1
881,Graduate (original),0,1.2460001,2.79,0,0,1,0,0,1,27,23,0,100,0,0,0
882,Graduate (original),1.758593,0,0,0,0,1,0,0,1,27,4,0,100,1,0,0
883,Graduate (original),0,0,3.7320001,0,0,0,0,0,0,20,0,0,80,0,1,0
884,Graduate (original),2.743633,0,0,0,1,1,1,0,0,18,0,0,100,1,0,0
885,Graduate (original),0,0.5,3.737,1.5,0,1,0,0,1,28,10,0,100,0,0,0
886,Graduate (original),0,0,0,0,0,1,0,1,1,30,4,0,100,0,0,0
887,Graduate (original),0,0,0,0,0,1,0,0,1,32,0,0,100,0,0,0
888,Non-Graduate,0,0,1.294,0,0,1,0,1,1,26,0,0,71.428574,1,1,0
889,Non-Graduate,2.3701169,0,0,0,0,0,0,0,0,31,4,0,93.75,2,1,0
890,Graduate (original),1.702,2.1500001,2.7939999,0,0,1,0,1,1,30,31,0,100,0,0,0
891,Non-Graduate,1.029179,0,0,0,0,1,0,1,1,21,0,0,100,2,0,0
892,Graduate (original),2.329,5.1040001,0,0,0,0,0,0,1,19,0,0,100,1,0,0
893,Graduate (original),0.235,3.138,3.1719999,0,0,1,0,0,1,18,0,0,100,2,0,0
894,Graduate (original),1.66092,0,0,0,0,1,0,1,1,24,8,0,100,0,0,0
895,Non-Graduate,0,0,1.294,0,0,1,0,0,0,27,0,0,0,0,0,1
896,Graduate (original),2.0810001,4.5,2.1240001,0,0,1,1,0,1,23,0,0,100,2,0,0
897,Graduate (original),0,0,1.294,0.5,0,1,0,1,1,29,0,0,106.25,0,0,0
898,Graduate (original),0,5.303,0,1.5,0,1,0,0,1,28,0,0,100,0,0,0
899,Graduate (original),1.314291,0,0,0,0,1,0,0,0,20,0,1,100,0,0,0
900,Graduate (original),0,0,0,0,0,1,0,1,1,28,0,0,100,0,0,0
