id,degree,unmet,need,loan,scholarship,age19,onCampus,outstate,reciprocity,firstgen,act,ap,remedial,ratio,ccount,dcount,wcount
88,Non-Graduate,1.938483,0,0,0,0,1,0,0,1,28,0,0,75,1,1,0
89,Graduate (original),3,1.028,1.081,0,0,1,0,0,1,24,0,0,100,0,0,0
90,Graduate (original),2.2620001,5.1570001,0,0,0,0,0,0,0,13,0,1,100,0,0,0
91,Graduate (original),0,0,0,2,0,1,0,0,1,29,11,0,100,0,0,0
92,Graduate (original),2.4408391,0,0,0,0,0,0,0,0,22,0,0,100,1,0,0
93,Graduate (original),9.2040005,3.2030001,0,0,0,0,0,0,1,19,0,0,100,2,0,0
94,Non-Graduate,0.88099998,1,1.293,0,0,1,0,0,1,31,0,0,100,1,0,0
95,Graduate (original),2.023,2.2449999,1.035,0,0,0,0,0,1,16,0,0,100,1,1,0
96,Graduate (original),0,0,1.294,0,0,1,0,0,1,22,0,0,100,1,0,0
97,Graduate (original),1.890362,0,0,0,0,1,0,0,1,32,0,0,100,0,0,0
98,Non-Graduate,2.3870001,1.4529999,1.796,0,0,0,0,0,0,22,0,0,71.428574,1,2,0
99,Non-Graduate,1.665,3.6930001,0,0,0,0,0,0,0,15,0,0,50,1,3,1
100,Graduate (original),0,0,0,0.5,0,1,0,0,1,27,4,0,100,0,0,0
101,Graduate (original),4.9959998,5.2969999,0,0,0,0,0,0,1,24,0,0,100,0,0,0
102,Graduate (original),0,0,0,1,0,0,0,0,1,27,0,0,100,0,0,0
103,Graduate (original),1.358386,0,0,0,0,1,0,0,0,24,0,1,100,1,0,0
104,Non-Graduate,0.46599999,1.66,1.4960001,0,0,0,0,0,0,16,0,1,100,3,0,0
105,Non-Graduate,0,0.75,0.55500001,0,0,1,0,1,1,27,0,0,100,0,2,0
106,Graduate (original),0,0,2.25,0,0,1,0,0,1,22,0,0,100,2,0,0
107,Graduate (original),8.2559996,0,0,0,0,1,0,1,1,29,12,0,100,0,0,0
108,Non-Graduate,0,5.7179999,0,1.925,0,1,0,1,1,23,0,0,0,0,0,4
109,Graduate (original),0,0,3.5439999,0,0,1,0,0,1,28,8,0,50,0,2,0
110,Graduate (original),0,0.30500001,3.7320001,0,0,1,0,0,1,32,27,0,100,0,0,0
111,Non-Graduate,0,0,1.724,0,1,0,0,0,0,30,0,0,100,0,0,0
112,Graduate (transfer),0,0.25,0,0,0,0,0,0,0,25,4,0,60,2,1,0
113,Graduate (original),0,0,5.9429998,1,0,1,0,1,1,22,4,0,100,1,0,0
114,Graduate (original),0,0,0,0,0,1,0,0,1,28,6,0,100,2,0,0
115,Graduate (original),0,0,0,0,0,1,0,0,0,24,0,0,100,2,0,0
116,Graduate (transfer),1.088619,0,0,0,0,1,0,1,0,28,0,0,100,2,0,1
117,Non-Graduate,0,2.734,2.102,0,0,1,0,0,1,22,0,0,100,4,0,0
118,Graduate (original),0.315,0,0,0,0,1,1,0,1,31,12,0,100,1,0,0
119,Graduate (original),0,0,0,4,0,1,0,0,1,29,10,0,100,0,0,0
120,Graduate (original),3.704,0,2.2939999,0,0,1,0,1,1,28,0,0,100,1,0,0
121,Graduate (original),0,0,4.2189999,0,0,1,0,1,1,31,0,0,100,0,0,0
122,Non-Graduate,2.928,3.2030001,0,0,0,0,0,0,0,23,0,0,100,3,0,0
123,Non-Graduate,0,0,7.6370001,0,0,1,0,0,1,28,31,0,50,0,2,0
124,Graduate (original),12.956,0,0,0,0,1,0,1,1,23,0,0,100,0,0,0
125,Non-Graduate,2.0599999,5.0609999,0,0,0,0,0,0,0,17,0,1,92.307693,1,1,0
126,Graduate (original),0,1.6160001,2.1140001,1.5,0,1,0,0,1,29,33,0,100,0,0,0
127,Graduate (original),0,0,0,0,0,1,0,1,1,28,0,0,100,0,0,0
128,Graduate (original),0,0,0,0,0,1,0,0,1,20,0,0,100,1,0,0
129,Non-Graduate,0,3.355,1.294,0,0,0,0,0,0,17,0,0,100,2,0,0
130,Graduate (original),0,0,6.3429999,0,0,1,0,0,0,29,0,0,100,0,0,0
131,Graduate (original),0,0.60000002,3.714,0,0,1,0,0,1,19,0,0,100,0,0,0
132,Graduate (original),0,1.711,2.477,0.5,0,1,0,0,1,29,12,0,100,0,0,0
133,Graduate (original),0,0,1.724,0,0,0,0,0,1,28,0,0,100,0,0,0
134,Graduate (original),0,0.255,3.974,0,0,1,0,0,1,28,36,0,100,1,0,0
135,Graduate (original),0,1.5,3.5439999,0,0,1,0,1,1,21,0,0,100,0,0,0
136,Graduate (transfer),3.0280001,0,0,0,0,1,0,1,0,25,4,0,100,0,1,0
137,Graduate (original),13.636,0,0,1,0,1,0,0,1,32,8,0,100,1,0,0
138,Graduate (original),0,0,1.294,1.5,0,1,0,0,1,28,0,0,100,0,0,0
139,Graduate (original),0,2.402,3.786,0,0,1,0,0,1,26,0,0,100,1,0,0
140,Graduate (original),0,0,0,1.5,0,1,0,0,1,28,0,0,100,0,0,0
141,Graduate (transfer),0,0,1.294,0.5,0,1,0,0,1,30,0,0,100,1,0,0
142,Non-Graduate,3.092,0,0,0,0,0,0,0,1,27,0,0,70.588226,1,1,0
143,Graduate (original),0,3.2969999,0,1.5,0,0,0,0,1,30,0,0,100,0,0,0
144,Non-Graduate,0,2.5599999,2.358,1,0,1,0,0,1,28,0,0,100,2,0,0
145,Graduate (original),1.436884,0,0,0,0,1,0,1,1,25,7,0,100,1,0,0
146,Non-Graduate,0,1.3839999,6.3169999,0,0,1,0,0,0,23,0,1,77.777779,0,0,1
147,Non-Graduate,6.5,5.5170002,1.303,0,1,0,0,0,1,21,0,0,0,0,0,5
148,Graduate (original),1.40353,0,0,0,0,1,0,1,1,28,0,0,100,0,0,0
149,Graduate (original),3.793,0,1.294,0,0,1,0,1,1,26,4,0,100,1,0,0
150,Graduate (original),0,0,5.007,0,0,1,0,1,0,24,0,0,100,3,0,0
151,Graduate (original),0,0,5.5830002,0,0,1,0,0,1,20,0,1,100,2,0,0
152,Graduate (transfer),0,0,5.1939998,0,0,0,0,0,0,24,0,0,100,1,0,0
153,Graduate (original),0,0,1.294,0,0,0,0,0,1,23,0,0,100,0,0,0
154,Non-Graduate,2.3795431,0,0,0,0,0,0,1,1,31,15,0,100,1,0,0
155,Non-Graduate,1.8041871,0,0,0,0,1,0,0,0,24,0,0,100,1,0,0
156,Graduate (original),0,0,1.294,0,0,1,0,0,0,20,8,0,100,1,0,0
157,Graduate (original),0.001,2.7090001,2.0610001,0,0,1,0,0,1,33,39,0,100,0,0,0
158,Graduate (transfer),4.6360002,0,1.294,0,0,1,0,1,1,24,0,0,100,0,0,0
159,Graduate (original),0,2.2,1.8789999,1.5,0,1,0,0,1,29,6,0,100,1,0,0
160,Non-Graduate,0,5.0339999,0,0,0,0,0,0,0,20.85248,0,0,100,1,1,0
161,Graduate (original),0,0,0,1,0,1,0,0,0,17,0,0,73.333344,1,0,1
162,Graduate (original),0,0.67699999,4.7639999,0,0,1,0,0,0,19,0,0,100,0,0,0
163,Graduate (original),5.4860001,0.44999999,0,0,0,1,1,0,1,27,7,0,100,1,1,0
164,Graduate (original),8.882,2.75,0,0,0,1,0,1,1,27,8,0,100,0,0,0
165,Graduate (original),1.7855999,0,0,0,0,1,0,1,0,28,0,0,100,0,0,0
166,Graduate (original),13.636,0,0,0,0,1,1,0,1,29,11,0,100,0,0,0
167,Graduate (original),0,0,6.9060001,0,0,1,0,0,1,29,0,0,100,0,0,0
168,Graduate (transfer),8.1949997,3.45,2.267,0,0,1,0,1,0,24,0,0,100,1,0,0
169,Graduate (original),0,2.7,1.294,0,0,0,0,0,1,28,22,0,100,0,0,0
170,Non-Graduate,0,5.4829998,0,0,0,0,0,0,0,18,0,0,100,0,0,0
171,Graduate (original),0,0.050000001,0,1.5,0,1,0,0,1,28,12,0,100,0,0,0
172,Graduate (original),0,0,6.6620002,1,0,1,0,0,1,28,0,0,100,0,0,0
173,Graduate (transfer),0,0,7.6370001,0,0,0,0,0,0,20,0,1,83.333328,0,2,1
174,Graduate (original),1.666006,0,0,0,0,1,0,0,1,26,0,0,100,1,0,0
175,Graduate (original),15.636,0,0,0,0,0,0,0,1,23,0,0,100,1,0,0
176,Graduate (original),0,0,0,0,0,1,0,1,1,23,0,0,100,2,0,0
177,Non-Graduate,3.022866,0,0,0,0,0,0,0,1,19,0,0,0,0,0,5
178,Graduate (original),0,0,0,0,0,1,0,0,0,21,0,0,100,1,0,0
179,Graduate (original),0,0,0,0,0,1,0,0,1,25,0,0,100,0,0,0
180,Graduate (original),0,3.2079999,2.7780001,0,0,1,0,0,1,23,0,0,100,0,0,0
181,Graduate (original),0,0,4.4640002,1,0,1,0,0,1,31,29,0,111.7647,0,0,0
182,Graduate (original),7.8179998,0,0,0,0,1,0,0,1,28,3,0,100,0,0,0
183,Graduate (original),15.636,0,0,0,0,1,0,0,0,25,0,0,100,0,0,0
184,Non-Graduate,0,0,6.1739998,0,0,1,0,0,1,28,4,0,100,3,0,0
185,Graduate (original),0.49200001,0,0,0,0,1,0,0,1,25,0,0,100,1,0,0
186,Graduate (original),2.1005211,0,0,0,0,1,0,0,1,23,8,0,100,0,0,0
187,Non-Graduate,7.1360002,0,0,1.5,0,1,0,0,1,29,0,0,100,0,0,0
188,Non-Graduate,0.244,3.714,1.2,0,0,1,0,0,0,26,0,0,50,1,1,0
189,Graduate (original),12.636,0,0,1.5,0,1,0,0,1,29,42,0,100,0,0,0
190,Graduate (original),2.464,3.8929999,1.294,0,0,1,0,0,0,29,0,0,100,2,0,0
191,Graduate (original),0,0,6.5599999,0,0,1,0,0,0,21,0,0,100,2,0,0
192,Graduate (original),0,4.5,0,0,0,1,0,1,1,30,25,0,100,0,0,0
193,Graduate (transfer),1.795123,0,0,0,0,1,0,0,1,28,0,0,100,0,0,0
194,Graduate (original),0,0,5.7579999,0,0,0,0,0,1,21,0,0,100,1,0,0
195,Graduate (original),1.488541,0,0,0,0,1,0,1,1,23,0,0,100,0,0,0
196,Graduate (original),0,0,5.6370001,0,0,1,0,1,1,26,15,0,87.5,1,0,1
197,Graduate (original),0,0,1.294,0,0,1,0,0,1,26,4,0,100,1,0,0
198,Graduate (transfer),0,2.359,2.5320001,0,0,1,0,0,1,23,21,0,100,0,0,0
199,Non-Graduate,15.636,0,0,0,0,1,0,0,1,26,8,0,20,1,0,0
200,Non-Graduate,1.9294651,0,0,0,0,1,0,0,1,31,10,0,100,1,0,0
201,Graduate (transfer),0,0,0,0,0,0,0,0,0,26,0,0,21.052629,0,1,2
202,Non-Graduate,1.423529,0,0,0,0,1,0,0,1,24,0,0,100,2,0,0
203,Graduate (original),0,0,1.294,0,0,1,0,1,1,23,0,0,87.5,1,0,1
204,Graduate (original),1.148939,0,0,0,0,1,0,1,1,23,7,0,100,1,0,0
205,Graduate (transfer),3.2579999,0.25,2.7939999,0,0,1,0,0,1,23,0,0,100,1,1,0
206,Graduate (original),1.387823,0,0,0,0,1,0,0,0,22,0,0,100,1,0,0
207,Non-Graduate,2.8,3.092,1.281,0,0,0,0,0,0,18,0,0,100,0,0,0
208,Graduate (original),1.776,0.83999997,1.993,0,0,1,0,0,1,24,0,0,100,2,0,0
209,Graduate (original),0,6.2490001,0,0,0,1,0,0,1,20,0,0,100,0,0,0
210,Graduate (original),0.63499999,0,2.438,0,0,1,0,0,1,24,4,0,100,1,0,0
211,Graduate (original),4.2719998,0.72799999,0,0,0,1,0,0,0,22,0,0,100,1,0,0
212,Non-Graduate,2.0824521,0,0,0,0,1,0,0,0,22,0,0,75,0,0,1
213,Graduate (original),0,0,0.972,0,0,1,0,1,1,31,22,0,82.352943,1,1,0
214,Graduate (transfer),1.069,0,1.294,0,0,1,0,1,1,21,0,0,100,0,0,0
215,Non-Graduate,1.770618,0,0,0,0,1,0,0,0,24,4,0,100,1,0,0
216,Graduate (original),0,5.3299999,2.402,0,0,1,0,0,0,21,0,1,100,2,0,0
217,Graduate (original),0,0,3.5439999,0,0,1,0,0,1,26,0,0,100,1,0,0
218,Graduate (original),0,0,1.293,0,0,0,0,0,0,17,0,1,68.75,1,0,1
219,Non-Graduate,14.456,1,0,0,0,0,0,1,1,22,0,0,100,1,0,0
220,Non-Graduate,0,0,0,0,0,1,0,0,1,24,0,0,69.230766,2,0,1
221,Graduate (original),0,0,7.6370001,0,0,1,0,0,0,23,0,0,100,0,0,0
222,Non-Graduate,0,0,1.295,0,0,1,1,0,1,25,0,0,0,0,0,0
223,Graduate (original),0,5.8280001,2.0780001,0,0,1,0,0,1,20,0,0,100,0,0,0
224,Graduate (original),0.028000001,2.7980001,0,0,0,1,0,0,1,26,4,0,100,0,0,0
225,Graduate (original),0,0,0,0,0,1,0,0,0,22,0,1,100,1,0,0
226,Graduate (transfer),0,0.25,1.295,0,0,1,0,1,0,22,0,0,100,1,0,0
227,Graduate (original),2.6819999,0,0,0,0,0,0,0,0,20,0,1,100,0,0,0
228,Graduate (original),2.9277201,0,0,0,0,1,1,0,1,22,4,0,100,0,0,0
